"Magnitude ID";"User ID";"Obs Session ID";Shower;"Start Date";"End Date";"Mag N6";"Mag N5";"Mag N4";"Mag N3";"Mag N2";"Mag N1";"Mag 0";"Mag 1";"Mag 2";"Mag 3";"Mag 4";"Mag 5";"Mag 6";"Mag 7"
288302;7956;80104;GNO;"2020-03-18 12:40:00";"2020-03-18 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288303;7956;80104;SPO;"2020-03-18 09:25:00";"2020-03-18 10:25:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00
288304;7956;80104;SPO;"2020-03-18 10:30:00";"2020-03-18 11:30:00";0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;2.00;4.00;3.00;0.00;0.00;0.00
288305;7956;80104;SPO;"2020-03-18 11:30:00";"2020-03-18 12:30:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;5.00;2.00;0.00;0.00;0.00
288306;7956;80104;SPO;"2020-03-18 12:40:00";"2020-03-18 13:40:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;4.00;2.00;1.00;0.00;0.00;0.00
288307;7956;80105;ANT;"2020-03-19 09:35:00";"2020-03-19 10:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288308;7956;80105;ANT;"2020-03-19 10:35:00";"2020-03-19 11:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
288309;7956;80105;ANT;"2020-03-19 11:35:00";"2020-03-19 12:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
288310;7956;80105;GNO;"2020-03-19 09:35:00";"2020-03-19 10:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
288311;7956;80105;GNO;"2020-03-19 10:35:00";"2020-03-19 11:35:00";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00
