"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
964156;82;79786;"2020-01-03 02:30:00";"2020-01-03 03:15:00";160.0000;25.0000;0.7500;1.0000;6.32;QUA;C;13
964157;82;79786;"2020-01-03 02:30:00";"2020-01-03 03:15:00";160.0000;25.0000;0.7500;1.0000;6.32;DLM;C;1
964158;82;79786;"2020-01-03 02:30:00";"2020-01-03 03:15:00";160.0000;25.0000;0.7500;1.0000;6.32;SPO;C;8
964159;82;79786;"2020-01-03 03:15:00";"2020-01-03 04:00:00";170.0000;25.0000;0.7500;1.0000;6.27;ANT;C;3
964160;82;79786;"2020-01-03 03:15:00";"2020-01-03 04:00:00";170.0000;25.0000;0.7500;1.0000;6.27;QUA;C;6
964161;82;79786;"2020-01-03 03:15:00";"2020-01-03 04:00:00";170.0000;25.0000;0.7500;1.0000;6.27;DLM;C;2
964162;82;79786;"2020-01-03 03:15:00";"2020-01-03 04:00:00";170.0000;25.0000;0.7500;1.0000;6.27;SPO;C;10
964163;82;79786;"2020-01-03 04:00:00";"2020-01-03 04:45:00";185.0000;25.0000;0.7500;1.0000;6.2;ANT;C;3
964164;82;79786;"2020-01-03 04:00:00";"2020-01-03 04:45:00";185.0000;25.0000;0.7500;1.0000;6.2;QUA;C;8
964165;82;79786;"2020-01-03 04:00:00";"2020-01-03 04:45:00";185.0000;25.0000;0.7500;1.0000;6.2;DLM;C;1
964166;82;79786;"2020-01-03 04:00:00";"2020-01-03 04:45:00";185.0000;25.0000;0.7500;1.0000;6.2;SPO;C;10
964167;82;79786;"2020-01-03 04:45:00";"2020-01-03 05:36:00";200.0000;25.0000;0.8500;1.0000;6.2;ANT;C;3
964168;82;79786;"2020-01-03 04:45:00";"2020-01-03 05:36:00";200.0000;25.0000;0.8500;1.0000;6.2;QUA;C;11
964169;82;79786;"2020-01-03 04:45:00";"2020-01-03 05:36:00";200.0000;25.0000;0.8500;1.0000;6.2;DLM;C;0
964170;82;79786;"2020-01-03 04:45:00";"2020-01-03 05:36:00";200.0000;25.0000;0.8500;1.0000;6.2;SPO;C;9
964468;210;79794;"2020-01-03 02:25:00";"2020-01-03 03:10:00";110.0000;30.0000;0.7500;1.0000;6.67;ANT;C;3
964469;210;79794;"2020-01-03 02:25:00";"2020-01-03 03:10:00";110.0000;30.0000;0.7500;1.0000;6.67;QUA;C;11
